date,leg,regime,gex,direction,of_ratio,strike,entry_cost_pts,exit,pnl_pts,pnl_usd,r_multiple
20250930,H3_stack,long_gamma,11209272312.362272,up,0.1917104495037945,6670.0,4.5,prem_stop,-2.35,-237.0,-0.5222222222222223
20251001,H3_stack,long_gamma,36812071171.95828,up,0.15555555555555556,6710.0,1.35,target,0.09999999999999987,7.999999999999986,0.07407407407407397
20251002,H3_stack,long_gamma,41078599586.09338,up,0.15925680159256803,6720.0,2.55,target,-0.34999999999999964,-36.999999999999964,-0.1372549019607842
20251003,H3_stack,long_gamma,51375452092.767,down,-0.1703534777651083,6730.0,1.5,time_stop,8.5,848.0,5.666666666666667
20251007,H3_stack,long_gamma,40720013737.14138,up,0.15679502676567086,6715.0,2.4,time_stop,-0.2999999999999998,-31.999999999999982,-0.12499999999999993
20251008,H3_stack,short_gamma,-6333704906.597103,down,-0.15731814198071867,6725.0,3.8,prem_stop,-2.25,-227.0,-0.5921052631578948
20251009,H3_stack,long_gamma,59612244282.08896,up,0.15010570824524314,6735.0,1.1,time_stop,0.5499999999999998,52.999999999999986,0.4999999999999998
20251010,H3_stack,long_gamma,33060891051.907764,up,0.15633661614672406,6760.0,4.4,target,0.8999999999999995,87.99999999999994,0.20454545454545442
20251014,H3_stack,short_gamma,-15594819791.068197,up,0.19151096669374493,6685.0,5.0,target,1.0,98.0,0.2
20251015,H3_stack,short_gamma,-7031839150.185799,down,-0.18832161418526444,6660.0,1.4,time_stop,0.15000000000000013,13.000000000000014,0.10714285714285725
20251021,H3_stack,long_gamma,52208849285.21833,down,-0.17029023197753043,6740.0,3.9,prem_stop,-2.0,-202.0,-0.5128205128205129
20251023,H3_stack,short_gamma,-56564981492.489975,up,0.16196517748684033,6735.0,6.7,prem_stop,-3.5,-352.0,-0.5223880597014925
20251024,H3_stack,long_gamma,41941134852.56891,up,0.15541113308844307,6805.0,4.5,target,0.7999999999999998,77.99999999999999,0.17777777777777773
20251028,H3_stack,long_gamma,575736407328.8783,up,0.1736053288925895,6890.0,3.2,target,0.19999999999999973,17.99999999999997,0.06249999999999992
20251029,H3_stack,long_gamma,154727637131.4804,up,0.17573423206547906,6925.0,8.1,target,0.40000000000000036,38.000000000000036,0.04938271604938276
20251030,H3_stack,long_gamma,44525355376.21565,up,0.1561313964140819,6875.0,12.5,prem_stop,-6.6,-662.0,-0.528
20251104,H3_stack,short_gamma,-11814483067.332586,down,-0.15731948903613635,6770.0,5.9,target,0.0,-2.0,0.0
20251105,H3_stack,short_gamma,-25968391916.81736,up,0.15540375701390582,6805.0,8.8,time_stop,5.6,558.0,0.6363636363636362
20251106,H3_stack,short_gamma,-6848100785.751676,up,0.17484206614641398,6745.0,4.9,time_stop,0.5,48.0,0.1020408163265306
20251111,H3_stack,long_gamma,42270921375.385185,up,0.1525714662969565,6855.0,4.2,target,0.5999999999999996,57.999999999999964,0.14285714285714277
20251112,H3_stack,long_gamma,30506832872.0943,down,-0.15883507177527625,6830.0,4.1,target,0.40000000000000036,38.000000000000036,0.0975609756097562
20251114,H3_stack,short_gamma,-32001011046.813686,down,-0.1542946996003407,6710.0,3.9,target,0.5000000000000004,48.00000000000004,0.12820512820512833
20251120,H3_stack,short_gamma,-22380074405.85961,down,-0.15363600884610382,6720.0,8.1,target,58.300000000000004,5828.0,7.197530864197532
20251125,H3_stack,long_gamma,24681836101.50003,down,-0.15367214598099835,6735.0,2.9,prem_stop,-1.75,-177.0,-0.603448275862069
20251126,H3_stack,long_gamma,42495337524.82474,down,-0.16980480221109,6815.0,4.3,prem_stop,-2.1999999999999997,-221.99999999999997,-0.5116279069767441
20251128,H3_stack,long_gamma,84655443528.92354,up,0.15987460815047022,6840.0,7.4,target,-0.10000000000000053,-12.000000000000053,-0.013513513513513585
20251203,H3_stack,long_gamma,50954092756.402954,down,-0.1656961355214399,6820.0,4.2,prem_stop,-2.1500000000000004,-217.00000000000003,-0.511904761904762
20251204,H3_stack,long_gamma,49622980806.01646,up,0.153518821603928,6860.0,6.0,target,0.5999999999999996,57.999999999999964,0.09999999999999994
20251205,H3_stack,long_gamma,38833186204.67507,down,-0.1554696039687211,6870.0,5.9,prem_stop,-2.95,-297.0,-0.5
20251209,H3_stack,long_gamma,1568943056.2571259,down,-0.2030178326474623,6845.0,2.35,target,1.65,163.0,0.702127659574468
20251210,H3_stack,short_gamma,-15582995031.77027,up,0.15864500306560392,6865.0,9.0,time_stop,19.1,1908.0000000000002,2.1222222222222222
20251211,H3_stack,long_gamma,46554432510.28532,down,-0.15580676122427214,6835.0,5.0,prem_stop,-2.5,-252.0,-0.5
20251216,H3_stack,short_gamma,-11129144082.045824,up,0.16629570747217806,6805.0,7.9,prem_stop,-4.2,-422.0,-0.5316455696202531
20251217,H3_stack,short_gamma,-22470307595.094078,down,-0.15099009900990099,6765.0,7.3,target,1.8999999999999995,187.99999999999994,0.26027397260273966
20251218,H3_stack,short_gamma,-39060056303.45834,down,-0.15392254220456802,6785.0,5.5,prem_stop,-2.8,-282.0,-0.509090909090909
20251223,H3_stack,long_gamma,77166780711.85487,up,0.15938864628820962,6900.0,2.4,target,0.1499999999999999,12.999999999999991,0.062499999999999965
20251224,H3_stack,long_gamma,239087754584.56467,up,0.18735632183908046,6930.0,0.75,target,-0.050000000000000044,-7.000000000000004,-0.06666666666666672
20251230,H3_stack,long_gamma,8519054111.855425,up,0.17358782563838018,6920.0,2.3,prem_stop,-1.2999999999999998,-131.99999999999997,-0.5652173913043478
20251231,H3_stack,short_gamma,-12417964141.352718,down,-0.1642607506457985,6860.0,3.7,target,0.0,-2.0,0.0
